n,epsilon,delta,m,resolution,repeats,raw_pair_separation_mean,raw_pair_separation_se,outer_fold_transformed_pair_separation_mean_mean,outer_fold_transformed_pair_separation_mean_se,clr_ridge_fixed_mae_mean,clr_ridge_fixed_mae_se,nn_fixed_mae_mean,nn_fixed_mae_se,pair_clr_ridge_mae_mean,pair_clr_ridge_mae_se,pair_nn_mae_mean,pair_nn_mae_se,equal_prediction_pair_floor_mean,equal_prediction_pair_floor_se,shared_contrast_clr_mae_mean,shared_contrast_clr_mae_se,shared_contrast_nn_mae_mean,shared_contrast_nn_mae_se,fine_contrast_clr_mae_mean,fine_contrast_clr_mae_se,naive_selected_mae_mean,naive_selected_mae_se,nested_selected_mae_mean,nested_selected_mae_se,selection_optimism_mean,selection_optimism_se,nested_selected_candidate_mean_mean,nested_selected_candidate_mean_se,all_simplex_ok,all_nested_outer_fold_isolation,all_nested_inner_fold_isolation
6,0.0,1.2,20,full_k3,200,0.0,0.0,0.0,0.0,0.08837783408410789,0.0004983379343008096,0.16009706894880615,0.001968876067210484,0.20795542497016237,0.0012192450943217734,0.2950440426160856,0.0,0.1475220213080428,0.0,0.045718452770670236,0.0007939286886937978,0.06083567206831489,0.0021042529323277927,0.1908260108405728,0.0010861702111207173,0.08824908832498302,0.0005103337711247921,0.10671205911230454,0.001833405017290639,0.01846297078732152,0.001706433500772258,1.7908333333333335,0.1758722281082647,True,True,True
6,0.0,1.2,20,pooled_k2,200,0.0,0.0,0.0,0.0,0.04809358643072871,0.000875420604009579,0.06083567206831489,0.0021042529323277927,0.04588004029917826,0.0009562650771210991,0.0,0.0,0.0,0.0,0.04809358643072871,0.000875420604009579,0.06083567206831489,0.0021042529323277927,,,0.0472378759199641,0.0009085244652398221,0.09199979993303828,0.0037671549683447494,0.04476192401307419,0.003481262645985614,2.290833333333333,0.20343915437051016,True,True,True
6,0.05,0.0,1,full_k3,200,0.04999999999999999,0.0,0.12105924392952218,0.003200328450106102,0.025102163164236874,0.0005446783918928172,0.04470778858171433,0.0012784144357076,0.017767375516744725,0.0007498061185129341,0.01283458515451625,0.00021491112335757245,0.007229005005454714,1.2297128680066881e-19,0.037653244746355306,0.0008170175878392258,0.06706168287257148,0.0019176216535614005,0.0,0.0,0.025102163164236874,0.0005446783918928172,0.02510216316423687,0.0005446783918928172,-1.3010426069826053e-20,7.312521845971093e-19,0.0,0.0,True,True,True
6,0.05,0.0,1,pooled_k2,200,0.04999999999999999,0.0,0.12105924392952218,0.003200328450106102,0.03765324474635531,0.0008170175878392257,0.06706168287257148,0.0019176216535614005,0.02665106327511708,0.0011247091777694008,0.019251877731774378,0.0003223666850363586,0.010843507508182068,0.0,0.037653244746355306,0.0008170175878392257,0.06706168287257148,0.0019176216535614005,,,0.03765324474635531,0.0008170175878392257,0.037653244746355306,0.0008170175878392257,-2.0209528495129803e-18,1.4399080482816746e-18,0.0,0.0,True,True,True
6,0.05,0.0,5,full_k3,200,0.04999999999999999,0.0,0.12105924392952218,0.003200328450106102,0.025102163164236874,0.0005446783918928172,0.04470778858171433,0.0012784144357076,0.017767375516744725,0.0007498061185129341,0.01283458515451625,0.00021491112335757245,0.007229005005454714,1.2297128680066881e-19,0.037653244746355306,0.0008170175878392258,0.06706168287257148,0.0019176216535614005,0.0,0.0,0.02509552690691999,0.0005443388909887564,0.027790552896194518,0.0008634170525402705,0.0026950259892745253,0.0006087407134966512,0.06666666666666667,0.01522215905141212,True,True,True
6,0.05,0.0,5,pooled_k2,200,0.04999999999999999,0.0,0.12105924392952218,0.003200328450106102,0.03765324474635531,0.0008170175878392257,0.06706168287257148,0.0019176216535614005,0.02665106327511708,0.0011247091777694008,0.019251877731774378,0.0003223666850363586,0.010843507508182068,0.0,0.037653244746355306,0.0008170175878392257,0.06706168287257148,0.0019176216535614005,,,0.037643290360379986,0.0008165083364831346,0.041685829344291776,0.001295125578810406,0.004042538983911786,0.0009131110702449767,0.06666666666666667,0.01522215905141212,True,True,True
6,0.05,0.0,20,full_k3,200,0.04999999999999999,0.0,0.12105924392952218,0.003200328450106102,0.025102163164236874,0.0005446783918928172,0.04470778858171433,0.0012784144357076,0.017767375516744725,0.0007498061185129341,0.01283458515451625,0.00021491112335757245,0.007229005005454714,1.2297128680066881e-19,0.037653244746355306,0.0008170175878392258,0.06706168287257148,0.0019176216535614005,0.0,0.0,0.024891905910073824,0.0005410805245171685,0.034280861839313746,0.001466023578920007,0.009388955929239919,0.0011955667709959488,1.01,0.14058802091497916,True,True,True
6,0.05,0.0,20,pooled_k2,200,0.04999999999999999,0.0,0.12105924392952218,0.003200328450106102,0.03765324474635531,0.0008170175878392257,0.06706168287257148,0.0019176216535614005,0.02665106327511708,0.0011247091777694008,0.019251877731774378,0.0003223666850363586,0.010843507508182068,0.0,0.037653244746355306,0.0008170175878392257,0.06706168287257148,0.0019176216535614005,,,0.037337858865110735,0.0008116207867757528,0.0514212927589706,0.0021990353683800107,0.014083433893859874,0.0017933501564939233,1.01,0.14058802091497916,True,True,True
6,0.05,0.6,1,full_k3,200,0.04999999999999999,0.0,0.12611878955758782,0.004578592134755245,0.05590936116517893,0.00043437394856449106,0.09759521665575811,0.0015747696903552102,0.11014992532349469,0.0008202923961095218,0.14695076621862962,0.0018157617057734093,0.08067324334681154,9.837702944053505e-19,0.039204383703377976,0.0008654932690301311,0.06435977312552002,0.002038904826273169,0.10454038686738303,0.0006501514792825358,0.05590936116517893,0.00043437394856449106,0.05590936116517895,0.00043437394856449117,-1.249000902703301e-18,8.795808725343107e-19,0.0,0.0,True,True,True
6,0.05,0.6,1,pooled_k2,200,0.04999999999999999,0.0,0.12611878955758782,0.004578592134755245,0.03950930841780294,0.0008801753161881104,0.06435977312552005,0.0020389048262731686,0.03218378881405612,0.0010938313404073106,0.019578239341794493,0.000249213444058405,0.010567381029253045,0.0,0.03950930841780293,0.0008801753161881104,0.06435977312552002,0.002038904826273169,,,0.03950930841780294,0.0008801753161881104,0.03950930841780293,0.0008801753161881104,-2.146720301521299e-18,1.3729613035255656e-18,0.0,0.0,True,True,True
6,0.05,0.6,5,full_k3,200,0.04999999999999999,0.0,0.12611878955758782,0.004578592134755245,0.05590936116517893,0.00043437394856449106,0.09759521665575811,0.0015747696903552102,0.11014992532349469,0.0008202923961095218,0.14695076621862962,0.0018157617057734093,0.08067324334681154,9.837702944053505e-19,0.039204383703377976,0.0008654932690301311,0.06435977312552002,0.002038904826273169,0.10454038686738303,0.0006501514792825358,0.0557523042395687,0.0004341707125300526,0.06282914169625473,0.0013958654835675305,0.007076837456686032,0.0013240520091955688,0.14833333333333334,0.030485326123853778,True,True,True
6,0.05,0.6,5,pooled_k2,200,0.04999999999999999,0.0,0.12611878955758782,0.004578592134755245,0.03950930841780294,0.0008801753161881104,0.06435977312552005,0.0020389048262731686,0.03218378881405612,0.0010938313404073106,0.019578239341794493,0.000249213444058405,0.010567381029253045,0.0,0.03950930841780293,0.0008801753161881104,0.06435977312552002,0.002038904826273169,,,0.039223351049467226,0.0008767875258788642,0.04747950299770382,0.0020427450481145426,0.008256151948236602,0.0017167111799853538,0.1075,0.02905782515399366,True,True,True
6,0.05,0.6,20,full_k3,200,0.04999999999999999,0.0,0.12611878955758782,0.004578592134755245,0.05590936116517893,0.00043437394856449106,0.09759521665575811,0.0015747696903552102,0.11014992532349469,0.0008202923961095218,0.14695076621862962,0.0018157617057734093,0.08067324334681154,9.837702944053505e-19,0.039204383703377976,0.0008654932690301311,0.06435977312552002,0.002038904826273169,0.10454038686738303,0.0006501514792825358,0.055684306311187676,0.0004349546863268396,0.07542703452582301,0.0020202372066824717,0.019742728214635342,0.0019281784061449183,1.564166666666667,0.16612003112318666,True,True,True
6,0.05,0.6,20,pooled_k2,200,0.04999999999999999,0.0,0.12611878955758782,0.004578592134755245,0.03950930841780294,0.0008801753161881104,0.06435977312552005,0.0020389048262731686,0.03218378881405612,0.0010938313404073106,0.019578239341794493,0.000249213444058405,0.010567381029253045,0.0,0.03950930841780293,0.0008801753161881104,0.06435977312552002,0.002038904826273169,,,0.03908097495402023,0.0008728123083995045,0.06578437718689542,0.003532426572472196,0.026703402232875196,0.0031024114874066153,1.2275,0.14371816157500472,True,True,True
6,0.05,1.2,1,full_k3,200,0.04999999999999999,0.0,0.12717183543511443,0.006406993852350945,0.08872387708473223,0.0004094414290270557,0.15209394511124075,0.0017960905160797054,0.2045468794405305,0.0011492703495664123,0.2711481593758018,0.003280949633397883,0.1490324740473163,1.967540588810701e-18,0.04541968965200832,0.0009102777371199824,0.06439999083547647,0.002010078762008538,0.1988564684737212,0.0011675776879387064,0.08872387708473223,0.0004094414290270557,0.08872387708473224,0.0004094414290270557,9.020562075079397e-19,1.122005007963256e-18,0.0,0.0,True,True,True
6,0.05,1.2,1,pooled_k2,200,0.04999999999999999,0.0,0.12717183543511443,0.006406993852350945,0.047459851517521974,0.0009718406859173672,0.06439999083547647,0.0020100787620085385,0.04438952802477264,0.001074307062823981,0.020860572869496146,0.0002864207170173963,0.009787998659893785,0.0,0.04745985151752199,0.0009718406859173672,0.06439999083547647,0.002010078762008538,,,0.047459851517521974,0.0009718406859173672,0.047459851517521974,0.0009718406859173671,-2.1076890233118208e-18,1.4768271745776127e-18,0.0,0.0,True,True,True
